place_id,place_name,flagged_words,full_url
5adda0647cdc26742ba379d5,Habitat-Cité,phone,https://soliguide.fr/fr/fiche/permanence-acces-aux-droits-pour-les-russophones-pantin-2648
5addb1037cdc26742ba37a17,SPADA 93,phone,https://soliguide.fr/fr/fiche/spada-93-aubervilliers-2666
5addce8d7cdc26742ba37a63,SOS Victimes 93 - Point d'accès aux droits,phone,https://soliguide.fr/fr/fiche/sos-victimes-93-point-acces-aux-droits-bobigny-2685
5ae1cca67cdc26742ba37c15,SOS Femmes 93  - Lieu d'Accueil et d'Orientation,phone,https://soliguide.fr/fr/fiche/sos-femmes-93-lieu-accueil-et-d-orientation-bondy-2789
5ae1df9f7cdc26742ba37c67,CSAPA Oppelia Cap 93,phone,https://soliguide.fr/fr/fiche/csapa-cap93-le-blanc-mesnil-2813
5ae2f7ee7cdc26742ba37cbe,CASITA Maison des adolescents,phone,https://soliguide.fr/fr/fiche/casita-maison-des-adolescents-bobigny-2837
5ae30fff7cdc26742ba37ce5,Juris Secours Bobigny,phone,https://soliguide.fr/fr/fiche/juris-secours-bobigny-2849
5b041202914ef40b86110aaa,Service social de polyvalence municipal - Saint-Denis,phone,https://soliguide.fr/fr/fiche/service-social-de-polyvalence-municipal-saint-denis-3321
5b0e7d28bfb66922e1e8fc3e,Secours Populaire - Comité de Bobigny,phone,https://soliguide.fr/fr/fiche/comite-de-bobigny-3364
5b15293dbfb66922e1e8fc7f,Secours Catholique de Tremblay-En-France,phone,https://soliguide.fr/fr/fiche/secours-catholique-de-tremblay-en-france-3429
5bceebe78769d9061bcd6787,Mission Locale de la Marne aux Bois - Neuilly-sur-Marne,phone,https://soliguide.fr/fr/fiche/mission-locale-de-la-marne-aux-bois-neuilly-sur-marne-4661
5bffbf5534e47608452491cf,Juris Secours Epinay-sur-Seine,phone,https://soliguide.fr/fr/fiche/juris-secours-epinay-epinay-sur-seine-4799
5c5ac546c3b3484a7ac629c4,Permanence RESF Aulnay-sous-Bois / Sevran,phone,https://soliguide.fr/fr/fiche/permanence-resf-aulnay-sous-bois-5210
5c5ad924c3b3484a7ac629c5,Permanence RESF Bagnolet,phone,https://soliguide.fr/fr/fiche/permanence-resf-bagnolet-5211
5cee46d9194e437daf4dfc0e,Emmaüs Connect Saint-Denis,phone,https://soliguide.fr/fr/fiche/emmaus-connect-saint-denis-5832
5dd42853878c7f1ba9db57e1,Maison du bébé,phone,https://soliguide.fr/fr/fiche/maison-du-bebe-saint-denis-6830
5e2ef23921e0fe72dc86fe60,Service Insertion - ESSOR 93,phone,https://soliguide.fr/fr/fiche/service-insertion-essor-93-gagny-7286
5e870794b447b234f2dd8ed6,Centre municipal déducation pour la santé Louis Pasteur,phone,https://soliguide.fr/fr/fiche/centre-municipal-education-pour-la-sante-louis-pasteur-aulnay-sous-bois-8326
5e8b04e4b447b234f2dd8ee9,Centre Municipal de Santé de Dugny,phone,https://soliguide.fr/fr/fiche/centre-municipal-de-sante-dugny-8340
5e8d8dc4b447b234f2dd8f23,CMP Rosny-sous-Bois,phone,https://soliguide.fr/fr/fiche/centre-medico-psychologique-cmp-rosny-sous-bois-8392
605b608ebacd1e20c2b528f3,Association pour le logement des jeunes (ALJ),phone,https://soliguide.fr/fr/fiche/association-logement-jeune-alj-la-courneuve-11588
605cc396e0c49342111ea0bb,Action sociale Mazone,phone,https://soliguide.fr/fr/fiche/action-sociale-mazone-stains-11620
607ee9b3061cbf50605aa855,Villepinte dans la Maison,phone,https://soliguide.fr/fr/fiche/villepinte-dans-la-maison-11942
608296a8a5a9423663622266,Association Young Charity,phone,https://soliguide.fr/fr/fiche/association-young-charity-ile-saint-denis-12006
6089793aabdd7a418627701d,Emergence 93 - Accueil de jour Pass'R'Ailes,phone,https://soliguide.fr/fr/fiche/emergence-93-aubervilliers-12053
6093ea7d049aa60ae8b8940b,Emmaüs Alternatives - Service RSA,phone,https://soliguide.fr/fr/fiche/emmaus-alternatives-service-rsa-montreuil-12117
6231b3e06305011cd1bffffe,Sol'eil - Solutions & Conseil en gestion de vie quotidienne,phone,https://soliguide.fr/fr/fiche/sol-eil-solutions-conseil-19101
62553c5a16f4f04fa24578f3,Vous et Votre Projet (PCB 93),phone,https://soliguide.fr/fr/fiche/point-conseil-budget-saint-denis-20354
628649f564b48827ffafbb18,Bicyclo - La Maison du Vélo de Saint-Denis,phone,https://soliguide.fr/fr/fiche/bicyclo-de-saint-denis-21708
63062ec6f2162455c958ac6f,Caisse Allocations Familiales (CAF) - Bobigny,phone,https://soliguide.fr/fr/fiche/caisse-allocations-familiales-caf-bobigny-25273
63062fecf2162455c958b546,Caisse Allocations Familiales (CAF) - Aulnay sous Bois,phone,https://soliguide.fr/fr/fiche/caisse-allocations-familiales-caf-bobigny-copie-25274
63063050f2162455c958b72b,Caisse Allocations Familiales (CAF) - Noisy le Grand,phone,https://soliguide.fr/fr/fiche/caisse-allocations-familiales-caf-aulnay-sous-bois-copie-25275
63063099f2162455c958b803,Caisse Allocations Familiales (CAF) - Rosny sous Bois,phone,https://soliguide.fr/fr/fiche/caisse-allocations-familiales-caf-noisy-le-grand-copie-25276
630630d5f2162455c958b904,Caisse Allocations Familiales (CAF) - Saint Denis,phone,https://soliguide.fr/fr/fiche/caisse-allocations-familiales-caf-rosny-sous-bois-copie-25277
64b960ab12cbab27bd6c4ada,Juris Secours Drancy,phone,https://soliguide.fr/fr/fiche/juris-secours-drancy-35030
64b9624a12cbab27bd6c4fbc,Juris Secours Rosny-sous-Bois,phone,https://soliguide.fr/fr/fiche/juris-secours-rosny-sous-bois-35031
64b968c412cbab27bd6c53ef,Juris Secours Dugny,phone,https://soliguide.fr/fr/fiche/juris-secours-dugny-35032
