place_description_problem;service_description_problem;full_url;service_name;place_name
téléphone;;'https://soliguide.fr/fr/fiche/le-pole-social-epinay-sur-seine-2384';Douche;Le Pôle Social
téléphone;;'https://soliguide.fr/fr/fiche/le-pole-social-epinay-sur-seine-2384';Laverie;Le Pôle Social
téléphone;;'https://soliguide.fr/fr/fiche/le-pole-social-epinay-sur-seine-2384';Écrivain public;Le Pôle Social
téléphone;;'https://soliguide.fr/fr/fiche/le-pole-social-epinay-sur-seine-2384';Permanence juridique;Le Pôle Social
téléphone;;'https://soliguide.fr/fr/fiche/le-pole-social-epinay-sur-seine-2384';Conseil administratif;Le Pôle Social
téléphone;;'https://soliguide.fr/fr/fiche/spada-93-aubervilliers-2666';Accompagnement social;SPADA 93
téléphone;;'https://soliguide.fr/fr/fiche/spada-93-aubervilliers-2666';Domiciliation;SPADA 93
téléphone;;'https://soliguide.fr/fr/fiche/spada-93-aubervilliers-2666';Conseil administratif;SPADA 93
téléphone;;'https://soliguide.fr/fr/fiche/spada-93-aubervilliers-2666';Dépistage;SPADA 93
téléphone;;'https://soliguide.fr/fr/fiche/centre-de-sante-association-sante-bien-etre-saint-denis-2696';Généraliste;La Place Santé
téléphone;;'https://soliguide.fr/fr/fiche/centre-de-sante-association-sante-bien-etre-saint-denis-2696';Gynécologie;La Place Santé
téléphone;;'https://soliguide.fr/fr/fiche/centre-de-sante-association-sante-bien-etre-saint-denis-2696';Conseil administratif;La Place Santé
téléphone;;'https://soliguide.fr/fr/fiche/centre-de-sante-association-sante-bien-etre-saint-denis-2696';Activités diverses;La Place Santé
;téléphone;'https://soliguide.fr/fr/fiche/pass-de-hopital-avicenne-bobigny-2714';Accompagnement social;PASS - Hôpital Avicenne
téléphone;téléphone;'https://soliguide.fr/fr/fiche/pass-de-hopital-jean-verdier-paris-2744';Accompagnement social;PASS - Hôpital Jean Verdier
téléphone;;'https://soliguide.fr/fr/fiche/pass-de-hopital-jean-verdier-paris-2744';Généraliste;PASS - Hôpital Jean Verdier
téléphone;;'https://soliguide.fr/fr/fiche/pass-du-centre-hospitalier-de-saint-denis-2766';Accompagnement social;PASS - Centre hospitalier de Saint-Denis Delafontaine
téléphone;;'https://soliguide.fr/fr/fiche/pass-du-centre-hospitalier-de-saint-denis-2766';Généraliste;PASS - Centre hospitalier de Saint-Denis Delafontaine
téléphone;;'https://soliguide.fr/fr/fiche/pass-du-centre-hospitalier-de-saint-denis-2766';Dentaire;PASS - Centre hospitalier de Saint-Denis Delafontaine
téléphone;;'https://soliguide.fr/fr/fiche/pass-du-centre-hospitalier-de-saint-denis-2766';Soins enfants;PASS - Centre hospitalier de Saint-Denis Delafontaine
téléphone;;'https://soliguide.fr/fr/fiche/pass-du-centre-hospitalier-de-saint-denis-2766';Oto-rhino-laryngologie;PASS - Centre hospitalier de Saint-Denis Delafontaine
téléphone;;'https://soliguide.fr/fr/fiche/pass-du-centre-hospitalier-de-saint-denis-2766';Ophtalmologie;PASS - Centre hospitalier de Saint-Denis Delafontaine
téléphone;;'https://soliguide.fr/fr/fiche/pass-du-centre-hospitalier-de-saint-denis-2766';Stomatologie;PASS - Centre hospitalier de Saint-Denis Delafontaine
téléphone;;'https://soliguide.fr/fr/fiche/pass-du-centre-hospitalier-de-saint-denis-2766';Rhumatologie;PASS - Centre hospitalier de Saint-Denis Delafontaine
téléphone;;'https://soliguide.fr/fr/fiche/pass-du-centre-hospitalier-de-saint-denis-2766';Gastro-entérologie;PASS - Centre hospitalier de Saint-Denis Delafontaine
téléphone;;'https://soliguide.fr/fr/fiche/pass-du-centre-hospitalier-de-saint-denis-2766';Gynécologie;PASS - Centre hospitalier de Saint-Denis Delafontaine
;téléphone;'https://soliguide.fr/fr/fiche/maison-des-services-publics-de-montfermeil-2772';Permanence juridique;Maison des services publics de Montfermeil
;téléphone;'https://soliguide.fr/fr/fiche/maison-des-services-publics-de-montfermeil-2772';Conseil logement;Maison des services publics de Montfermeil
téléphone;;'https://soliguide.fr/fr/fiche/sos-femmes-93-lieu-accueil-et-d-orientation-bondy-2789';Domiciliation;SOS Femmes 93  - Lieu d'Accueil et d'Orientation
téléphone;;'https://soliguide.fr/fr/fiche/sos-femmes-93-lieu-accueil-et-d-orientation-bondy-2789';Laverie;SOS Femmes 93  - Lieu d'Accueil et d'Orientation
téléphone;;'https://soliguide.fr/fr/fiche/sos-femmes-93-lieu-accueil-et-d-orientation-bondy-2789';Douche;SOS Femmes 93  - Lieu d'Accueil et d'Orientation
téléphone;;'https://soliguide.fr/fr/fiche/sos-femmes-93-lieu-accueil-et-d-orientation-bondy-2789';Conseil administratif;SOS Femmes 93  - Lieu d'Accueil et d'Orientation
téléphone;téléphone;'https://soliguide.fr/fr/fiche/sos-femmes-93-lieu-accueil-et-d-orientation-bondy-2789';Psychologie;SOS Femmes 93  - Lieu d'Accueil et d'Orientation
téléphone;;'https://soliguide.fr/fr/fiche/sos-femmes-93-lieu-accueil-et-d-orientation-bondy-2789';Permanence juridique;SOS Femmes 93  - Lieu d'Accueil et d'Orientation
téléphone;;'https://soliguide.fr/fr/fiche/sos-femmes-93-lieu-accueil-et-d-orientation-bondy-2789';Activités diverses;SOS Femmes 93  - Lieu d'Accueil et d'Orientation
téléphone, email;;'https://soliguide.fr/fr/fiche/aides-saint-denis-2802';Dépistage;AIDES Saint-Denis
téléphone, email;;'https://soliguide.fr/fr/fiche/aides-saint-denis-2802';Dépistage;AIDES Saint-Denis
téléphone;;'https://soliguide.fr/fr/fiche/juris-secours-bobigny-2849';Permanence juridique;Juris Secours Bobigny
;téléphone;'https://soliguide.fr/fr/fiche/centre-social-andre-malraux-villepinte-2940';Cours de français;Centre Social André Malraux
;téléphone;'https://soliguide.fr/fr/fiche/centre-social-grand-air-espace-40-montreuil-2982';Conseil administratif;Centre Social Grand Air - Espace 40
téléphone;;'https://soliguide.fr/fr/fiche/csf-aulnay-sous-bois-2988';Cours de français;Confédération syndicale des familles (CSF) Section d'Aulnay-sous-Bois
téléphone;;'https://soliguide.fr/fr/fiche/csf-aulnay-sous-bois-2988';Cours de français;Confédération syndicale des familles (CSF) Section d'Aulnay-sous-Bois
téléphone;;'https://soliguide.fr/fr/fiche/csf-aulnay-sous-bois-2988';Écrivain public;Confédération syndicale des familles (CSF) Section d'Aulnay-sous-Bois
;téléphone;'https://soliguide.fr/fr/fiche/maison-de-quartier-rougemont-sevran-3045';Permanence juridique;Maison de quartier Rougemont
;téléphone;'https://soliguide.fr/fr/fiche/maison-de-quartier-rougemont-sevran-3045';Accompagnement social;Maison de quartier Rougemont
;téléphone;'https://soliguide.fr/fr/fiche/maison-de-quartier-des-quatre-chemins-pantin-3051';Permanence juridique;Maison de quartier des Quatre-Chemins - antenne Vaillant
;téléphone;'https://soliguide.fr/fr/fiche/maison-de-quartier-des-quatre-chemins-pantin-3051';Écrivain public;Maison de quartier des Quatre-Chemins - antenne Vaillant
téléphone;;'https://soliguide.fr/fr/fiche/maison-des-femmes-therese-clerc-montreuil-3052';Cours de français;Maison des Femmes Thérèse Clerc
téléphone;;'https://soliguide.fr/fr/fiche/maison-des-femmes-therese-clerc-montreuil-3052';Permanence juridique;Maison des Femmes Thérèse Clerc
téléphone;;'https://soliguide.fr/fr/fiche/maison-des-femmes-therese-clerc-montreuil-3052';Permanence juridique;Maison des Femmes Thérèse Clerc
téléphone;;'https://soliguide.fr/fr/fiche/maison-des-femmes-therese-clerc-montreuil-3052';Permanence juridique;Maison des Femmes Thérèse Clerc
téléphone;;'https://soliguide.fr/fr/fiche/maison-des-femmes-therese-clerc-montreuil-3052';Psychologie;Maison des Femmes Thérèse Clerc
téléphone;;'https://soliguide.fr/fr/fiche/maison-des-femmes-therese-clerc-montreuil-3052';Accompagnement social;Maison des Femmes Thérèse Clerc
téléphone;;'https://soliguide.fr/fr/fiche/maison-des-femmes-therese-clerc-montreuil-3052';Conseil administratif;Maison des Femmes Thérèse Clerc
;téléphone;'https://soliguide.fr/fr/fiche/mediation-culture-et-vie-rosny-sous-bois-3089';Garde d'enfants;Médiation Culture et Vie
;téléphone;'https://soliguide.fr/fr/fiche/la-marmite-bondy-3116';Accompagnement à l'emploi;La Marmite
;téléphone;'https://soliguide.fr/fr/fiche/circonscription-municipale-de-service-social-bagnolet-3140';Permanence juridique;Service Social Municipal de Bagnolet
;téléphone;'https://soliguide.fr/fr/fiche/association-pavillonnaise-pour-la-jeunesse-et-la-culture-apjc-les-pavillons-sous-bois-3377';Écrivain public;APJC - Association Pavillonnaise pour la Jeunesse et la Culture
;téléphone, email;'https://soliguide.fr/fr/fiche/secours-catholique-de-dugny-3416';Cours de français;Secours Catholique de Dugny
email;;'https://soliguide.fr/fr/fiche/secours-catholique-de-tremblay-en-france-3429';Accompagnement social;Secours Catholique de Tremblay-En-France
;téléphone;'https://soliguide.fr/fr/fiche/secours-catholique-de-villepinte-accueil-social-3430';Accompagnement social;Secours Catholique de Villepinte - Accueil Social
téléphone;;'https://soliguide.fr/fr/fiche/equipe-mobile-saint-denis-3486';Conseil administratif;Equipe Mobile
téléphone;;'https://soliguide.fr/fr/fiche/mission-locale-de-la-marne-aux-bois-neuilly-sur-marne-4661';Accompagnement social;Mission Locale de la Marne aux Bois - Neuilly-sur-Marne
téléphone;;'https://soliguide.fr/fr/fiche/mission-locale-de-la-marne-aux-bois-neuilly-sur-marne-4661';Accompagnement à l'emploi;Mission Locale de la Marne aux Bois - Neuilly-sur-Marne
téléphone;;'https://soliguide.fr/fr/fiche/ccas-de-sevran-5064';Accompagnement social;CCAS de Sevran
téléphone;;'https://soliguide.fr/fr/fiche/ccas-de-sevran-5064';Domiciliation;CCAS de Sevran
;téléphone;'https://soliguide.fr/fr/fiche/la-fabrique-de-sante-madeleine-bres-aubervilliers-5158';Généraliste;La Fabrique de Santé Madeleine Brès
;téléphone;'https://soliguide.fr/fr/fiche/salle-de-quartier-4-chemins-aubervilliers-5159';Accompagnement social;Salle de Quartier Quatre Chemins
téléphone;;'https://soliguide.fr/fr/fiche/permanence-resf-bagnolet-5211';Permanence juridique;Permanence RESF Bagnolet
téléphone;;'https://soliguide.fr/fr/fiche/centre-municipal-de-sante-salvador-allende-la-courneuve-5392';Généraliste;Centre Municipal de Santé (CMS) Salvador Allende
téléphone;;'https://soliguide.fr/fr/fiche/centre-municipal-de-sante-salvador-allende-la-courneuve-5392';Dermatologie;Centre Municipal de Santé (CMS) Salvador Allende
téléphone;;'https://soliguide.fr/fr/fiche/centre-municipal-de-sante-salvador-allende-la-courneuve-5392';Gynécologie;Centre Municipal de Santé (CMS) Salvador Allende
téléphone;;'https://soliguide.fr/fr/fiche/centre-municipal-de-sante-salvador-allende-la-courneuve-5392';Soins enfants;Centre Municipal de Santé (CMS) Salvador Allende
téléphone;;'https://soliguide.fr/fr/fiche/centre-municipal-de-sante-salvador-allende-la-courneuve-5392';Gastro-entérologie;Centre Municipal de Santé (CMS) Salvador Allende
téléphone;;'https://soliguide.fr/fr/fiche/centre-municipal-de-sante-salvador-allende-la-courneuve-5392';Phlébologie;Centre Municipal de Santé (CMS) Salvador Allende
téléphone;;'https://soliguide.fr/fr/fiche/centre-municipal-de-sante-salvador-allende-la-courneuve-5392';Radiologie;Centre Municipal de Santé (CMS) Salvador Allende
téléphone;;'https://soliguide.fr/fr/fiche/centre-municipal-de-sante-salvador-allende-la-courneuve-5392';Echographie;Centre Municipal de Santé (CMS) Salvador Allende
téléphone;;'https://soliguide.fr/fr/fiche/centre-municipal-de-sante-salvador-allende-la-courneuve-5392';Infirmerie;Centre Municipal de Santé (CMS) Salvador Allende
téléphone;;'https://soliguide.fr/fr/fiche/centre-municipal-de-sante-salvador-allende-la-courneuve-5392';Kinésithérapie;Centre Municipal de Santé (CMS) Salvador Allende
téléphone;;'https://soliguide.fr/fr/fiche/centre-municipal-de-sante-salvador-allende-la-courneuve-5392';Suivi grossesse;Centre Municipal de Santé (CMS) Salvador Allende
téléphone;;'https://soliguide.fr/fr/fiche/centre-municipal-de-sante-salvador-allende-la-courneuve-5392';Psychologie;Centre Municipal de Santé (CMS) Salvador Allende
téléphone;;'https://soliguide.fr/fr/fiche/maison-de-emploi-de-pantin-5507';Accompagnement à l'emploi;Maison de l'Emploi à Pantin
téléphone;;'https://soliguide.fr/fr/fiche/maison-de-emploi-de-pantin-5507';Ordinateur;Maison de l'Emploi à Pantin
;téléphone;'https://soliguide.fr/fr/fiche/bibliotheque-francois-mitterrand-le-pre-saint-gervais-5825';Atelier numérique;Bibliothèque François Mitterrand
téléphone;;'https://soliguide.fr/fr/fiche/emmaus-connect-saint-denis-5832';Magasin solidaire;Emmaüs Connect Saint-Denis
téléphone;;'https://soliguide.fr/fr/fiche/emmaus-connect-saint-denis-5832';Atelier numérique;Emmaüs Connect Saint-Denis
téléphone;;'https://soliguide.fr/fr/fiche/emmaus-connect-saint-denis-5832';Atelier numérique;Emmaüs Connect Saint-Denis
;téléphone;'https://soliguide.fr/fr/fiche/maison-de-quartier-des-quatre-chemins-antenne-diderot-pantin-6974';Écrivain public;Maison de quartier des Quatre-Chemins - antenne Diderot
téléphone;;'https://soliguide.fr/fr/fiche/permanence-acces-aux-droits-ldh-resf-le-pre-gentil-rosny-sous-bois-7002';Conseil administratif;Permanence d'accès aux droits LDH-RESF - le Pré-Gentil
téléphone;;'https://soliguide.fr/fr/fiche/permanence-acces-aux-droits-ldh-resf-le-pre-gentil-rosny-sous-bois-7002';Permanence juridique;Permanence d'accès aux droits LDH-RESF - le Pré-Gentil
téléphone;;'https://soliguide.fr/fr/fiche/centre-municipal-de-sante-henri-barbusse-saint-ouen-7193';Généraliste;Centre Municipal de Santé Henri Barbusse
téléphone;;'https://soliguide.fr/fr/fiche/centre-municipal-de-sante-henri-barbusse-saint-ouen-7193';Allergologie;Centre Municipal de Santé Henri Barbusse
téléphone;;'https://soliguide.fr/fr/fiche/centre-municipal-de-sante-henri-barbusse-saint-ouen-7193';Cardiologie;Centre Municipal de Santé Henri Barbusse
téléphone;;'https://soliguide.fr/fr/fiche/centre-municipal-de-sante-henri-barbusse-saint-ouen-7193';Dermatologie;Centre Municipal de Santé Henri Barbusse
téléphone;;'https://soliguide.fr/fr/fiche/centre-municipal-de-sante-henri-barbusse-saint-ouen-7193';Endocrinologie;Centre Municipal de Santé Henri Barbusse
téléphone;;'https://soliguide.fr/fr/fiche/centre-municipal-de-sante-henri-barbusse-saint-ouen-7193';Gynécologie;Centre Municipal de Santé Henri Barbusse
téléphone;;'https://soliguide.fr/fr/fiche/centre-municipal-de-sante-henri-barbusse-saint-ouen-7193';Phlébologie;Centre Municipal de Santé Henri Barbusse
téléphone;;'https://soliguide.fr/fr/fiche/centre-municipal-de-sante-henri-barbusse-saint-ouen-7193';Dentaire;Centre Municipal de Santé Henri Barbusse
téléphone;;'https://soliguide.fr/fr/fiche/centre-municipal-de-sante-henri-barbusse-saint-ouen-7193';Infirmerie;Centre Municipal de Santé Henri Barbusse
téléphone;;'https://soliguide.fr/fr/fiche/centre-municipal-de-sante-henri-barbusse-saint-ouen-7193';Kinésithérapie;Centre Municipal de Santé Henri Barbusse
téléphone;;'https://soliguide.fr/fr/fiche/centre-municipal-de-sante-henri-barbusse-saint-ouen-7193';Orthophonie;Centre Municipal de Santé Henri Barbusse
téléphone;;'https://soliguide.fr/fr/fiche/centre-municipal-de-sante-henri-barbusse-saint-ouen-7193';Pédicure;Centre Municipal de Santé Henri Barbusse
téléphone;;'https://soliguide.fr/fr/fiche/centre-municipal-de-sante-henri-barbusse-saint-ouen-7193';Echographie;Centre Municipal de Santé Henri Barbusse
téléphone;;'https://soliguide.fr/fr/fiche/centre-municipal-de-sante-henri-barbusse-saint-ouen-7193';Radiologie;Centre Municipal de Santé Henri Barbusse
téléphone;;'https://soliguide.fr/fr/fiche/centre-municipal-de-sante-henri-barbusse-saint-ouen-7193';Mammographie;Centre Municipal de Santé Henri Barbusse
téléphone;;'https://soliguide.fr/fr/fiche/centre-municipal-de-sante-leo-lagrange-montreuil-7241';Généraliste;Centre Municipal de Santé Léo Lagrange
téléphone;;'https://soliguide.fr/fr/fiche/centre-municipal-de-sante-leo-lagrange-montreuil-7241';Soins enfants;Centre Municipal de Santé Léo Lagrange
téléphone;;'https://soliguide.fr/fr/fiche/centre-municipal-de-sante-leo-lagrange-montreuil-7241';Gynécologie;Centre Municipal de Santé Léo Lagrange
téléphone;;'https://soliguide.fr/fr/fiche/centre-municipal-de-sante-leo-lagrange-montreuil-7241';Infirmerie;Centre Municipal de Santé Léo Lagrange
téléphone;;'https://soliguide.fr/fr/fiche/centre-municipal-de-sante-leo-lagrange-montreuil-7241';Kinésithérapie;Centre Municipal de Santé Léo Lagrange
;téléphone;'https://soliguide.fr/fr/fiche/centre-municipal-de-sante-les-moulins-saint-denis-8219';Dentaire;Centre Municipal de Santé (CMS) Les Moulins
;téléphone;'https://soliguide.fr/fr/fiche/centre-medico-social-paul-schmierer-rosny-sous-bois-8229';Infirmerie;Centre médico-social Paul Schmierer
;téléphone;'https://soliguide.fr/fr/fiche/centre-municipal-de-sante-elsa-rustin-bagnolet-8246';Généraliste;Centre Municipal de Santé Elsa Rustin
;téléphone;'https://soliguide.fr/fr/fiche/centre-municipal-de-sante-elsa-rustin-bagnolet-8246';Infirmerie;Centre Municipal de Santé Elsa Rustin
;téléphone;'https://soliguide.fr/fr/fiche/centre-municipal-de-sante-elsa-rustin-bagnolet-8246';Kinésithérapie;Centre Municipal de Santé Elsa Rustin
;téléphone;'https://soliguide.fr/fr/fiche/centre-municipal-de-sante-fernand-goulene-noisy-le-sec-8307';Infirmerie;Centre Municipal de Santé Fernand Goulène
téléphone;;'https://soliguide.fr/fr/fiche/centre-municipal-de-sante-dugny-8340';Généraliste;Centre Municipal de Santé de Dugny
téléphone;;'https://soliguide.fr/fr/fiche/centre-municipal-de-sante-dugny-8340';Infirmerie;Centre Municipal de Santé de Dugny
téléphone;;'https://soliguide.fr/fr/fiche/centre-municipal-de-sante-dugny-8340';Vaccination;Centre Municipal de Santé de Dugny
téléphone;;'https://soliguide.fr/fr/fiche/centre-municipal-de-sante-dugny-8340';Dentaire;Centre Municipal de Santé de Dugny
téléphone;;'https://soliguide.fr/fr/fiche/centre-municipal-de-sante-dugny-8340';Gynécologie;Centre Municipal de Santé de Dugny
téléphone;;'https://soliguide.fr/fr/fiche/centre-municipal-de-sante-dugny-8340';Ophtalmologie;Centre Municipal de Santé de Dugny
téléphone;;'https://soliguide.fr/fr/fiche/centre-municipal-de-sante-dugny-8340';Phlébologie;Centre Municipal de Santé de Dugny
